-12.84,105.93,-6.42,1.07
-20.64,170.28,-15.48,1.72
-11.66,104.94,-3.18,1.06
-14.96,134.64,-5.44,1.36
-17.16,154.44,-9.36,1.56
-16.5,148.5,-13.5,1.5
-14.8,146.52,-5.92,1.48
-18.3,181.17,-9.15,1.83
-19.6,194.04,-11.76,1.96
-11.4,112.86,-9.12,1.14
-13.3,188.1,24.7,1.9
-12.81,181.17,21.96,1.83
-12.39,175.23,19.47,1.77
-7.49,105.93,10.7,1.07
-7.21,101.97,9.27,1.03
-8.75,123.75,10.0,1.25
-10.22,144.54,10.22,1.46
-12.74,180.18,10.92,1.82
-7.35,103.95,5.25,1.05
-13.65,193.05,7.8,1.95
-7.84,110.88,-3.36,1.12
-12.04,170.28,-6.88,1.72
-10.85,153.45,-7.75,1.55
-7.91,111.87,-6.78,1.13
-14.0,198.0,-14.0,2.0
-13.65,193.05,-15.6,1.95
-12.74,180.18,-16.38,1.82
-9.06,149.49,-6.04,1.51
-5.1,100.98,-3.06,1.02
-6.08,150.48,13.68,1.52
-4.48,110.88,6.72,1.12
-4.92,121.77,6.15,1.23
-5.76,142.56,-4.32,1.44
-4.29,141.57,14.3,1.43
-3.78,124.74,8.82,1.26
-3.81,125.73,5.08,1.27
-2.9,143.55,14.5,1.45
-2.08,102.96,7.28,1.04
-2.48,122.76,4.96,1.24
-3.68,182.16,-7.36,1.84
-2.76,136.62,-6.9,1.38
-2.58,127.71,-10.32,1.29
-1.59,157.41,15.9,1.59
-1.06,104.94,7.42,1.06
-1.04,102.96,4.16,1.04
-1.89,187.11,-5.67,1.89
-1.14,112.86,-6.84,1.14
-1.95,193.05,-17.55,1.95
0.0,146.52,14.8,1.48
0.0,100.98,9.18,1.02
0.0,108.9,7.7,1.1
0.0,125.73,6.35,1.27
0.0,105.93,-3.21,1.07
0.0,190.08,-11.52,1.92
0.0,117.81,-10.71,1.19
1.53,151.47,13.77,1.53
1.28,126.72,10.24,1.28
1.78,176.22,12.46,1.78
1.36,134.64,8.16,1.36
1.56,154.44,7.8,1.56
1.35,133.65,5.4,1.35
1.8,178.2,-5.4,1.8
1.2,118.8,-7.2,1.2
1.89,187.11,-17.01,1.89
2.56,126.72,-5.12,1.28
3.32,164.34,-11.62,1.66
2.34,115.83,-9.36,1.17
8.7,172.26,-5.22,1.74
8.7,172.26,-6.96,1.74
5.25,103.95,-5.25,1.05
5.9,116.82,-7.08,1.18
7.75,153.45,-10.85,1.55
8.05,159.39,-12.88,1.61
10.0,198.0,-18.0,2.0
5.4,106.92,-10.8,1.08
8.3,164.34,-18.26,1.66
7.75,153.45,-18.6,1.55
6.36,104.94,-4.24,1.06
8.64,142.56,-11.52,1.44
12.53,177.21,17.9,1.79
11.13,157.41,14.31,1.59
10.92,154.44,-4.68,1.56
11.69,165.33,-15.03,1.67
13.68,169.29,13.68,1.71
13.2,163.35,11.55,1.65
8.88,109.89,-3.33,1.11
9.28,114.84,-10.44,1.16
11.43,125.73,7.62,1.27
10.8,118.8,6.0,1.2
10.98,120.78,-3.66,1.22
14.31,157.41,-6.36,1.59
13.05,143.55,-11.6,1.45
15.03,165.33,-15.03,1.67
19.1,189.09,7.64,1.91
12.6,124.74,-5.04,1.26
15.6,154.44,-7.8,1.56
16.7,165.33,-10.02,1.67
13.2,130.68,-9.24,1.32
15.3,151.47,-12.24,1.53
14.74,132.66,8.04,1.34
18.81,169.29,8.55,1.71
17.4,143.55,11.6,1.45
21.24,175.23,12.39,1.77
19.76,150.48,15.2,1.52
18.72,142.56,12.96,1.44
13.65,103.95,-4.2,1.05
23.4,178.2,-9.0,1.8
19.89,151.47,-9.18,1.53
25.74,196.02,-13.86,1.98
22.62,172.26,-13.92,1.74
17.08,120.78,-3.66,1.22
16.1,113.85,-4.6,1.15
22.4,158.4,-9.6,1.6
26.32,186.12,-15.04,1.88
14.28,100.98,-9.18,1.02
26.25,173.25,22.75,1.75
18.9,124.74,12.6,1.26
29.85,197.01,17.91,1.99
30.0,198.0,16.0,2.0
19.05,125.73,8.89,1.27
25.65,169.29,10.26,1.71
17.1,112.86,5.7,1.14
18.0,118.8,4.8,1.2
22.05,145.53,-4.41,1.47
23.85,157.41,-9.54,1.59
17.85,117.81,-10.71,1.19
29.44,182.16,-5.52,1.84
22.4,138.6,-8.4,1.4
32.0,198.0,-18.0,2.0
30.26,176.22,-5.34,1.78
31.11,181.17,-7.32,1.83
30.77,179.19,-10.86,1.81
29.92,174.24,-15.84,1.76
21.78,119.79,10.89,1.21
18.0,99.0,8.0,1.0
18.18,99.99,7.07,1.01
21.42,117.81,7.14,1.19
21.78,119.79,6.05,1.21
24.84,136.62,-5.52,1.38
20.34,111.87,-5.65,1.13
30.06,165.33,-10.02,1.67
26.64,146.52,-11.84,1.48
35.53,185.13,18.7,1.87
35.15,183.15,16.65,1.85
33.44,174.24,8.8,1.76
29.64,154.44,6.24,1.56
27.6,136.62,13.8,1.38
20.4,100.98,4.08,1.02
38.22,180.18,18.2,1.82
30.87,145.53,5.88,1.47
21.0,99.0,-4.0,1.0
36.75,173.25,-8.75,1.75
23.1,108.9,-6.6,1.1
27.3,128.7,-9.1,1.3
40.53,191.07,-15.44,1.93
27.93,131.67,-11.97,1.33
27.06,121.77,11.07,1.23
36.3,163.35,8.25,1.65
36.96,166.32,-5.04,1.68
36.3,163.35,-6.6,1.65
33.0,148.5,-12.0,1.5
37.62,169.29,-15.39,1.71
33.35,143.55,18.85,1.45
36.34,156.42,18.96,1.58
27.83,119.79,13.31,1.21
25.3,108.9,11.0,1.1
45.54,196.02,17.82,1.98
39.1,168.3,13.6,1.7
39.79,171.27,12.11,1.73
28.29,121.77,7.38,1.23
35.19,151.47,7.65,1.53
26.45,113.85,4.6,1.15
31.28,134.64,-4.08,1.36
39.33,169.29,-15.39,1.71
42.48,175.23,-5.31,1.77
37.68,155.43,-14.13,1.57
26.75,105.93,-4.28,1.07
28.0,110.88,-8.96,1.12
30.16,114.84,10.44,1.16
50.96,194.04,11.76,1.96
29.12,110.88,5.6,1.12
53.19,195.03,19.7,1.97
39.15,143.55,10.15,1.45
44.82,164.34,6.64,1.66
38.07,139.59,-4.23,1.41
32.76,115.83,11.7,1.17
51.8,183.15,12.95,1.85
50.68,179.19,7.24,1.81
35.28,124.74,-1.26,1.26
42.0,148.5,-3.0,1.5
38.08,134.64,-4.08,1.36
28.84,101.97,-4.12,1.03
41.44,146.52,-7.4,1.48
45.36,160.38,-9.72,1.62
49.56,175.23,-12.39,1.77
31.36,110.88,-8.96,1.12
47.32,167.31,-15.21,1.69
45.24,154.44,15.6,1.56
43.5,148.5,10.5,1.5
37.7,128.7,5.2,1.3
44.08,150.48,-4.56,1.52
31.8,104.94,10.6,1.06
37.8,124.74,11.34,1.26
50.7,167.31,11.83,1.69
47.7,157.41,7.95,1.59
46.81,149.49,13.59,1.51
48.67,155.43,12.56,1.57
49.29,157.41,11.13,1.59
32.24,102.96,6.24,1.04
46.19,147.51,7.45,1.49
38.75,123.75,5.0,1.25
58.74,176.22,-0.0,1.78
59.07,177.21,-5.37,1.79
58.74,176.22,-7.12,1.78
37.95,113.85,-5.75,1.15
52.14,156.42,-9.48,1.58
44.88,134.64,-9.52,1.36
50.49,151.47,-12.24,1.53
44.88,134.64,-12.24,1.36
53.2,150.48,-4.56,1.52
56.0,158.4,-6.4,1.6
48.96,134.64,-6.8,1.36
63.72,175.23,-10.62,1.77
50.32,134.64,-9.52,1.36
71.41,191.07,-15.44,1.93
60.8,158.4,-14.4,1.6
67.08,170.28,-12.04,1.72
64.35,163.35,-13.2,1.65
54.4,134.64,-6.8,1.36
40.8,100.98,-6.12,1.02
70.11,169.29,-5.13,1.71
48.79,117.81,-4.76,1.19
67.51,155.43,-6.28,1.57
44.29,101.97,-7.21,1.03
70.95,163.35,-13.2,1.65
45.32,101.97,-3.09,1.03
73.92,166.32,-10.08,1.68
61.16,137.61,-12.51,1.39
83.25,183.15,-5.55,1.85
63.45,139.59,-8.46,1.41
52.65,115.83,-10.53,1.17
63.94,137.61,-4.17,1.39
92.0,198.0,-12.0,2.0
80.96,174.24,-15.84,1.76
69.09,145.53,-4.41,1.47
55.93,117.81,-4.76,1.19
54.99,115.83,-7.02,1.17
79.43,167.31,-13.52,1.69
81.12,167.31,-6.76,1.69
86.88,179.19,-9.05,1.81
56.16,115.83,-7.02,1.17
95.04,196.02,-13.86,1.98
70.56,145.53,-11.76,1.47
63.84,131.67,-11.97,1.33
79.38,145.53,2.94,1.47
88.56,162.36,1.64,1.64
85.32,156.42,-0.0,1.58
60.48,110.88,-1.12,1.12
86.4,158.4,-3.2,1.6
55.62,101.97,-3.09,1.03
83.16,152.46,-6.16,1.54
71.82,131.67,-6.65,1.33
97.74,179.19,-14.48,1.81
76.14,139.59,-12.69,1.41
105.05,189.09,3.82,1.91
102.85,185.13,1.87,1.87
94.6,170.28,-0.0,1.72
107.8,194.04,-1.96,1.96
108.35,195.03,-3.94,1.97
100.1,180.18,-5.46,1.82
64.9,116.82,-4.72,1.18
81.95,147.51,-7.45,1.49
75.9,136.62,-11.04,1.38
97.9,176.22,-16.02,1.78
